nth  vaddr      bind type lib          name
4407 0x005c92c8 NONE FUNC MFC42.DLL    CWnd::OnChildNotify
656  0x005c92cc NONE FUNC MFC42.DLL    CEdit::~CEdit
2414 0x005c92d0 NONE FUNC MFC42.DLL    CGdiObject::DeleteObject
4287 0x005c92d4 NONE FUNC MFC42.DLL    CWnd::ModifyStyleEx
4284 0x005c92d8 NONE FUNC MFC42.DLL    CWnd::ModifyStyle
5981 0x005c92dc NONE FUNC MFC42.DLL    CWnd::SetFocus
4083 0x005c92e0 NONE FUNC MFC42.DLL    CObject::IsKindOf
922  0x005c92e4 NONE FUNC MFC42.DLL    operator+
4129 0x005c92e8 NONE FUNC MFC42.DLL    CString::Left
4277 0x005c92ec NONE FUNC MFC42.DLL    CString::Mid
6199 0x005c92f0 NONE FUNC MFC42.DLL    CWnd::SetWindowTextA
6779 0x005c92f4 NONE FUNC MFC42.DLL    CString::Insert
858  0x005c92f8 NONE FUNC MFC42.DLL    CString::operator
4278 0x005c92ec NONE FUNC MFC42.DLL    CString::Mid
3874 0x005c9300 NONE FUNC MFC42.DLL    CWnd::GetWindowTextA
540  0x005c92a8 NONE FUNC MFC42.DLL    CString::CString
613  0x005c9308 NONE FUNC MFC42.DLL    CClientDC::~CClientDC
289  0x005c930c NONE FUNC MFC42.DLL    CClientDC::CClientDC
801  0x005c9310 NONE FUNC MFC42.DLL    CStringArray::~CStringArray
939  0x005c9314 NONE FUNC MFC42.DLL    CString::operator+
941  0x005c9314 NONE FUNC MFC42.DLL    CString::operator+
2516 0x005c931c NONE FUNC MFC42.DLL    CFontDialog::DoModal
361  0x005c9320 NONE FUNC MFC42.DLL    CFontDialog::CFontDialog
6270 0x005c9324 NONE FUNC MFC42.DLL    CMenu::TrackPopupMenu
2455 0x005c9328 NONE FUNC MFC42.DLL    CMenu::Detach
541  0x005c932c NONE FUNC MFC42.DLL    CStringArray::CStringArray
3876 0x005c9330 NONE FUNC MFC42.DLL    CWnd::GetWindowTextLengthA
2546 0x005c9334 NONE FUNC MFC42.DLL    CCmdUI::DoUpdate
2863 0x005c9338 NONE FUNC MFC42.DLL    CMenu::FromHandle
3815 0x005c933c NONE FUNC MFC42.DLL    CWnd::GetTopLevelParent
1176 0x005c9340 NONE FUNC MFC42.DLL    AfxGetThreadState
291  0x005c9344 NONE FUNC MFC42.DLL    CCmdUI::CCmdUI
823  0x005c9348 NONE FUNC MFC42.DLL    operatornew
1168 0x005c934c NONE FUNC MFC42.DLL    AfxGetModuleState
3619 0x005c9350 NONE FUNC MFC42.DLL    CFont::GetRuntimeClass
3626 0x005c9354 NONE FUNC MFC42.DLL    CGdiObject::GetRuntimeClass
3663 0x005c9358 NONE FUNC MFC42.DLL    CObject::GetRuntimeClass
1641 0x005c935c NONE FUNC MFC42.DLL    CGdiObject::Attach
4220 0x005c9360 NONE FUNC MFC42.DLL    CMenu::MeasureItem
2584 0x005c9364 NONE FUNC MFC42.DLL    CMenu::DrawItem
3654 0x005c9368 NONE FUNC MFC42.DLL    CMenu::GetRuntimeClass
2438 0x005c936c NONE FUNC MFC42.DLL    CMenu::DestroyMenu
1644 0x005c9370 NONE FUNC MFC42.DLL    CMenu::Attach
1146 0x005c9374 NONE FUNC MFC42.DLL    AfxFindResourceHandle
2860 0x005c9378 NONE FUNC MFC42.DLL    CGdiObject::FromHandle
2864 0x005c937c NONE FUNC MFC42.DLL    CWnd::FromHandle
3610 0x005c9380 NONE FUNC MFC42.DLL    CEdit::GetRuntimeClass
641  0x005c9384 NONE FUNC MFC42.DLL    CDialog::~CDialog
1771 0x005c9388 NONE FUNC MFC42.DLL    CListBox::CharToItem
6366 0x005c938c NONE FUNC MFC42.DLL    CListBox::VKeyToItem
2024 0x005c9390 NONE FUNC MFC42.DLL    CListBox::CompareItem
4401 0x005c9394 NONE FUNC MFC42.DLL    CListBox::OnChildNotify
3639 0x005c9398 NONE FUNC MFC42.DLL    CListBox::GetRuntimeClass
609  0x005c939c NONE FUNC MFC42.DLL    CButton::~CButton
692  0x005c93a0 NONE FUNC MFC42.DLL    CListBox::~CListBox
2078 0x005c93a4 NONE FUNC MFC42.DLL    CButton::Create
3089 0x005c93a8 NONE FUNC MFC42.DLL    CWnd::GetDlgCtrlID
5875 0x005c93ac NONE FUNC MFC42.DLL    CDC::SetBkMode
283  0x005c93b0 NONE FUNC MFC42.DLL    CBrush::CBrush
2859 0x005c93b4 NONE FUNC MFC42.DLL    CDC::FromHandle
2413 0x005c93b8 NONE FUNC MFC42.DLL    CListBox::DeleteItem
4299 0x005c93bc NONE FUNC MFC42.DLL    CWnd::MoveWindow
2575 0x005c93c0 NONE FUNC MFC42.DLL    CButton::DrawItem
